name,category,lat,lon
Blanchardstown Library,library,53.3908986,-6.3911037
Indian Summer,restaurant,53.2884983,-6.2057489
,atm,53.2992018,-6.3214939
Boot Inn,pub,53.4318903,-6.2642817
Le Monde Café Bar,pub,53.3501917,-6.2527615
Ballinteer House,pub,53.2747643,-6.2545959
The Old Punch Bowl,pub,53.3087656,-6.1966601
Palmerstown House,pub,53.356444,-6.3706215
Silver Granite,pub,53.3500748,-6.3774029
The Ark,pub,53.3541515,-6.4028674
The Barge,pub,53.3305512,-6.2605878
Domino's,fast_food,53.3776795,-6.3772169
The Gallops,pub,53.2582331,-6.1974199
SuperValu,supermarket,53.4199794,-6.3820549
The Foxhunter,pub,53.3586043,-6.4188935
Tesco,supermarket,53.4009558,-6.1796922
Bank of Ireland,atm,53.3475315,-6.4224191
SuperValu,supermarket,53.3861819,-6.3788096
Marino House (Kavanagh's),pub,53.365756,-6.2288162
Bray Sailing Club,sports_centre,53.2078032,-6.1010234
SuperValu,supermarket,53.2059553,-6.1117228
AIB,bank,53.2042172,-6.1094928
AIB,atm,53.2041288,-6.1094902
Bray Anglers' Club,sports_centre,53.2078908,-6.1013556
Henry & Rose's,fast_food,53.2038671,-6.1012497
Deveney's,convenience,53.202864,-6.100923
Ideal Stores,convenience,53.2023826,-6.1003786
Bank of Ireland,atm,53.3524793,-6.3931226
Ulster Bank,atm,53.3339606,-6.2457022
AIB,atm,53.3454619,-6.2589453
AIB,atm,53.33808,-6.2530504
,atm,53.3377383,-6.2522932
Ulster Bank,atm,53.344221,-6.2598661
The Clubhouse,pub,53.3082485,-6.22707
AIB,atm,53.3053431,-6.2203387
AIB,atm,53.3083526,-6.226351
Bank of Ireland,atm,53.3400283,-6.2620085
Oar House,restaurant,53.3909742,-6.0711431
Straney's Newsagent,convenience,53.3007671,-6.1890586
The Penny Hill,pub,53.3473896,-6.4238869
Eurospar,supermarket,53.3476135,-6.4219985
Roma Takeaway,fast_food,53.3477773,-6.4223509
Regal Fare,fast_food,53.3475319,-6.4220274
AIB,bank,53.3564069,-6.4509427
,atm,53.3563608,-6.450814
Courtney’s,restaurant,53.3563013,-6.4501896
Wrights Food Fayre,convenience,53.4279138,-6.2428203
La Gondola,restaurant,53.3457882,-6.2619477
Thunder Road Cafe,restaurant,53.3456174,-6.2612215
The Joy of Chá,cafe,53.3451923,-6.2661036
The Lower Deck,pub,53.330686,-6.2652379
La Pizza,restaurant,53.3510617,-6.260424
Burger King,fast_food,53.3505366,-6.2601744
Arlington Bar & Restaurant,pub,53.3472522,-6.2609325
Bar@Tolka,bar,53.3676758,-6.2512678
Fallon’s,pub,53.3389839,-6.2733761
,atm,53.3728045,-6.2520484
Fresh,supermarket,53.3432408,-6.2388322
Centra,supermarket,53.3432637,-6.2441791
McDonald's,fast_food,53.3614673,-6.2986591
The Wind Jammer,pub,53.3452765,-6.2483476
The Old Mill,pub,53.2751247,-6.354174
,atm,53.2988463,-6.3031729
Chrysanthemum Chinese Restaurant,restaurant,53.2939748,-6.3002428
Little Caesars,fast_food,53.2938175,-6.2999293
,atm,53.2830278,-6.3183136
Bugler's Pub,pub,53.2840791,-6.2954161
,atm,53.4276877,-6.2429021
AIB Churchtown,atm,53.2964238,-6.2602274
Eurospar,supermarket,53.3402787,-6.2362398
The Bagel Bar,cafe,53.3478437,-6.263717
Permanent TSB,bank,53.2871722,-6.3625102
Bank of Ireland,bank,53.2880599,-6.3572917
Bank of Ireland,atm,53.2880712,-6.35715
Scholars,pub,53.2750936,-6.3449534
Spar,convenience,53.2747352,-6.3450534
AIB,atm,53.2811305,-6.3412125
Bank of Ireland,atm,53.289691,-6.1997507
SuperValu,supermarket,53.4466521,-6.2380816
Spar,convenience,53.3931343,-6.3676759
Bank of Ireland,atm,53.3514964,-6.2504008
Ulster Bank,atm,53.3515003,-6.249743
AIB,atm,53.3506278,-6.2546645
,atm,53.3922112,-6.249767
Harkin’s,pub,53.3424988,-6.2885248
Vaughan’s Eagle House,pub,53.3100543,-6.2832454
,atm,53.3099774,-6.2829708
Brady’s,pub,53.3098046,-6.2841368
Bank of Ireland,atm,53.3869303,-6.3771538
,atm,53.3829494,-6.3817422
AIB,atm,53.3722389,-6.3893491
Padraig Pearse,pub,53.3433493,-6.2447418
,atm,53.3429222,-6.2637279
,atm,53.3427834,-6.2642374
,atm,53.3446376,-6.2672013
Sin É,pub,53.345976,-6.2695992
The Bakery,bakery,53.3446102,-6.2686326
O'Reilly's,pub,53.3470972,-6.254074
Spar,convenience,53.3491387,-6.2317518
Madame Pho,restaurant,53.3431117,-6.2635746
Bittersweet Cafe,cafe,53.3437335,-6.2688365
AIB,atm,53.3440947,-6.2659752
The Bull & Castle Bar,bar,53.3434574,-6.2698697
The Market Bar,restaurant,53.3420622,-6.2640639
Saba,restaurant,53.341264,-6.2617894
Woolshed Baa & Grill,pub,53.3502671,-6.2674686
Spar,convenience,53.3472105,-6.2632578
Centra,convenience,53.2366657,-6.1190095
Tesco Express,convenience,53.2314532,-6.1237863
Core Credit Union Shankill,bank,53.2314259,-6.124104
Bank of Ireland,atm,53.2301723,-6.1243209
Bernardos,fast_food,53.2307131,-6.1242145
Spar,convenience,53.2307975,-6.1242058
M&S Foodhall,supermarket,53.3484361,-6.2643181
Tesco,supermarket,53.3480715,-6.265225
Spar,convenience,53.3253867,-6.2553078
Diep At Home,fast_food,53.3253828,-6.2548022
The Bridge Cafe,cafe,53.3416287,-6.2281361
Oarsman,pub,53.3416674,-6.2277525
John Clarke and Sons,pub,53.3416873,-6.2275843
Tesco Express,convenience,53.3412034,-6.2261202
The Vintage Inn,pub,53.3386881,-6.2229321
The Merry Cobbler,pub,53.3385836,-6.2225999
Sandymount House,pub,53.3323885,-6.2152784
O’Reilly’s,pub,53.3328247,-6.2152427
Horse Show House,pub,53.3285197,-6.2289281
Paddy Cullen,pub,53.3290182,-6.230281
Mary Mac’s,pub,53.3290475,-6.2303733
Crowe’s,pub,53.3291081,-6.2305605
Spar,convenience,53.3291601,-6.2307087
The Terenure Inn,pub,53.3113561,-6.2830549
,atm,53.2964436,-6.260498
Circle K,convenience,53.2701805,-6.1413906
Ulster Bank,atm,53.3530021,-6.3640836
,atm,53.3540585,-6.3669989
,atm,53.3562353,-6.3752642
Roma,fast_food,53.3558553,-6.3706985
Londis,convenience,53.3556479,-6.3709617
Tesco,supermarket,53.3561587,-6.2867075
Ulster Bank,atm,53.3474083,-6.2544052
Holland's Off-License,convenience,53.202149,-6.1105212
Red Chilli Chinese Takeaway,fast_food,53.3397338,-6.3145209
La Boulangerie Cafe,cafe,53.3396891,-6.3145854
The Black Lion,pub,53.3395798,-6.3208057
Centra,convenience,53.280383,-6.444838
The Saint,pub,53.3395619,-6.3186912
Eurospar,supermarket,53.3392362,-6.3199786
Toni's,fast_food,53.3405884,-6.3141848
Diep Le Shaker,restaurant,53.3365613,-6.2516856
AIB,atm,53.3068611,-6.2223513
Bank of Ireland,bank,53.3087708,-6.2150983
Terenure Library,library,53.3089834,-6.2852821
Thai Garden,restaurant,53.3855392,-6.3745776
Lowes Bar,pub,53.333764,-6.2906371
The Bird Flanagan,pub,53.3365462,-6.299192
Cafe Haven,cafe,53.406501,-6.3497812
One Pico,restaurant,53.3405799,-6.2573287
Corkagh Fisheries,cafe,53.3099354,-6.4184357
Hogan’s Bar,pub,53.3419933,-6.2646102
Sutton Dinghy Club,sports_centre,53.3760554,-6.1014709
The Bloody Stream,pub,53.3889795,-6.0743615
Spar,convenience,53.331687,-6.27892
Spar,convenience,53.3322445,-6.2692153
Centra,convenience,53.3360471,-6.2984584
Spar,convenience,53.3424908,-6.2942122
Centra,convenience,53.3855187,-6.0652007
Christophe's,restaurant,53.3483367,-6.2770807
Fresh,supermarket,53.3492933,-6.2783922
DAHA,fitness_centre,53.3896353,-6.1099795
Bank of Ireland,bank,53.3896403,-6.1101914
Newland,fast_food,53.3408492,-6.3075146
The Boat Bar & Restaurant,restaurant,53.3470353,-6.2378335
Akaka Poké,restaurant,53.3494163,-6.2444344
Cool Hand Coffee Roasters IFSC,cafe,53.3494135,-6.2437735
Quack'n Wok,fast_food,53.3494051,-6.244311
Starbucks,cafe,53.3493946,-6.2478488
Molloy’s The Foxes Covert,pub,53.2879405,-6.3594067
Nolan's,supermarket,53.3615992,-6.1946941
McGarry’s Bar,pub,53.3216994,-6.2795312
Coman's,pub,53.312007,-6.2748056
The Food Gallery,cafe,53.3430816,-6.2767538
Leo Burdock's,fast_food,53.3430272,-6.2699629
J P Moonies,bar,53.3421487,-6.2548436
Forno 500,restaurant,53.3442981,-6.2662917
Grafton College of Management Sciences,college,53.3551013,-6.2628081
Tesco Metro,supermarket,53.3515645,-6.2638088
Lidl,supermarket,53.3510902,-6.2632744
Douglas & Kaldi,cafe,53.3757818,-6.3326262
AIB,bank,53.3484294,-6.2689369
Permanent TSB,atm,53.3411935,-6.2606951
Permanent TSB,bank,53.3411498,-6.2606493
Londis,convenience,53.2769122,-6.2183033
Four Star Pizza,fast_food,53.2763733,-6.2235693
SuperValu,supermarket,53.2764855,-6.2239388
Fallon & Byrne,restaurant,53.343118,-6.2632917
La Maison,restaurant,53.3423029,-6.2629206
Smokin Bones,restaurant,53.3424,-6.262826
L'Gueuleton,restaurant,53.3419302,-6.2643415
Town Bar and Grill,restaurant,53.3396287,-6.2561537
Anseo,pub,53.3353226,-6.264995
Fidelity,pub,53.3471016,-6.2802916
Frank Ryan’s,pub,53.3470056,-6.2800493
SuperValu,supermarket,53.3705019,-6.2066829
Lynch's Chips,fast_food,53.3709176,-6.2048144
YMCA,sports_centre,53.3393811,-6.26637
O’Dwyer’s,pub,53.4194358,-6.4763613
Slevin’s,pub,53.4192176,-6.476446
China House,restaurant,53.2816189,-6.3401918
Cinelli's,fast_food,53.2815695,-6.3404763
Coletti's,fast_food,53.2811984,-6.3413936
Firhouse Credit Union,bank,53.2815903,-6.340102
Kinara,restaurant,53.360786,-6.1829271
Madigan’s,pub,53.3514196,-6.2605498
The Celt,pub,53.3505727,-6.2548867
The Old Storehouse,pub,53.3451323,-6.2626746
La Peniche,restaurant,53.3334254,-6.2481124
Spar,convenience,53.3542552,-6.2572003
Aldi,supermarket,53.3505171,-6.2656528
Burger King,fast_food,53.3508005,-6.2648971
,atm,53.3516162,-6.2636817
McDonald's,fast_food,53.3509526,-6.2644416
Pulse Café,cafe,53.3096603,-6.2257426
The Grind,fast_food,53.3083073,-6.2269789
Spar,convenience,53.3214482,-6.2348989
Dunnes Stores,supermarket,53.3955501,-6.4395662
Rendevous,cafe,53.3953565,-6.4390977
Ashtown Equestrian Centre,sports_centre,53.3748848,-6.333219
De Luxe,fast_food,53.2623215,-6.1619104
Tesco Express,convenience,53.262152,-6.1617779
The Grattan,pub,53.3394911,-6.3213412
Romayo's Diner,fast_food,53.3869841,-6.3772661
The Lord Lucan,pub,53.3413059,-6.4516682
Eddie Rocket's,fast_food,53.3221778,-6.2375379
Romayo's,fast_food,53.3225075,-6.2371737
McCloskeys,pub,53.3244334,-6.2404236
Decemberfest,restaurant,53.3228696,-6.2384848
