retailer,title,price_eur,unit_measure,product_url,image_url,canonical_unit,canonical_unit_price
ALDI,Protein Milk,1.55,1 L,https://www.aldi.ie/product/clonbawn-protein-milk-000000000000422541,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d458166c-11f4-413b-be01-a553ebe074ce/Protein%20Milk,L,1.55
ALDI,UHT Coconut Milk,1.49,1 L,https://www.aldi.ie/product/actileaf-uht-coconut-milk-000000000000423109,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/7377eec7-1aa5-4fb3-afeb-4bd3489dc036/UHT%20Coconut%20Milk,L,1.49
ALDI,Organic Milk 3.5% Fat,1.49,1 L,https://www.aldi.ie/product/clonbawn-organic-milk-3-5-fat-000000000000416668,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/19791017-7fff-4945-881e-356a39058470/Organic%20Milk%203.5%25%20Fat,L,1.49
ALDI,Evaporated Milk,1.39,0.41 KG,https://www.aldi.ie/product/dessert-menu-evaporated-milk-000000000000335591,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/b37d6374-3e77-47e7-b1ee-373dab35162f/Evaporated%20Milk,kg,3.3902439024390243
ALDI,Milk Chocolate,1.99,0.2 KG,https://www.aldi.ie/product/dairyfine-milk-chocolate-000000000307934001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/63820525-b157-4bee-8272-8e2391e0c0ca/Milk%20Chocolate,kg,9.95
ALDI,Milk Chocolate,2.79,0.125 KG,https://www.aldi.ie/product/moser-roth-milk-chocolate-000000000462502003,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/5a12d178-d4bb-4c9a-ae2a-a87aa6ad3a01/Milk%20Chocolate,kg,22.32
ALDI,Chocolate Flavour Milk Drink,1.89,1 L,https://www.aldi.ie/product/viva-chocolate-flavour-milk-drink-000000000582522001,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/3fff037c-f01e-4858-a8a6-b722ac4df6eb/Chocolate%20Flavour%20Milk%20Drink,L,1.89
ALDI,Strawberry Flavour Milk Drink,1.89,1 L,https://www.aldi.ie/product/viva-strawberry-flavour-milk-drink-000000000582522002,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/c7008a1b-8205-4446-8a5f-cc7d6e362a62/Strawberry%20Flavour%20Milk%20Drink,L,1.89
ALDI,Irish Fresh Milk 3.5% Fat,1.19,1 L,https://www.aldi.ie/product/clonbawn-irish-fresh-milk-3-5-fat-000000000000450022,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/74761f38-40d8-4d83-b988-cc364a820edf/Irish%20Fresh%20Milk%203.5%25%20Fat,L,1.19
ALDI,Irish Fresh Milk 3.5% Fat,0.72,0.5 L,https://www.aldi.ie/product/clonbawn-irish-fresh-milk-3-5-fat-000000000000450316,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/271db08a-7f50-4b28-b6fc-77b46cafae1a/Irish%20Fresh%20Milk%203.5%25%20Fat,L,1.44
ALDI,Irish Butter Milk <0.5% Fat,1.19,1 L,https://www.aldi.ie/product/clonbawn-irish-butter-milk-0-5-fat-000000000000450450,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/7c515772-687d-452f-b0ba-d9f3863a76d0/Irish%20Butter%20Milk%200.5%25%20Fat,L,1.19
ALDI,Irish LIght Milk 1% Fat,2.35,2 L,https://www.aldi.ie/product/clonbawn-irish-light-milk-1-fat-000000000000476419,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/4f39b194-c7f2-49a3-9289-801968c51882/Irish%20LIght%20Milk%201%25%20Fat,L,1.175
ALDI,Irish Light Milk 1% Fat,1.19,1 L,https://www.aldi.ie/product/clonbawn-irish-light-milk-1-fat-000000000000476437,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/d055c0cd-2bc7-480d-8f24-942aab731723/Irish%20Light%20Milk%201%25%20Fat,L,1.19
ALDI,Irish Fresh Milk 3.5% Fat,2.35,2 L,https://www.aldi.ie/product/clonbawn-irish-fresh-milk-3-5-fat-000000000000476447,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/c5b02acf-e81d-4ab5-ba8d-054b61bc3eed/Irish%20Fresh%20Milk%203.5%25%20Fat,L,1.175
ALDI,Irish Whole Mega Milk 3.5% Fat,2.25,1.75 L,https://www.aldi.ie/product/clonbawn-irish-whole-mega-milk-3-5-fat-000000000000422116,https://dm.emea.cms.aldi.cx/is/image/aldiprodeu/product/jpg/scaleWidth/232/3f7b8430-d306-46aa-a7ee-df594f9f7d90/Irish%20Whole%20Mega%20Milk%203.5%25%20Fat,L,1.2857142857142858
